0.888,2017,0.28300000000000003,Grupo Legitimo,0.823,207679,0.728,0,0AAAns3nqYVd9zKCipsSR2,3.92e-05,8,0.177,-4.254,1,Pideme,57,2017-02-27,0.0359,107.652
0.092,2017,0.0209,Lil Uzi Vert,0.6509999999999999,274880,0.68,1,2O1qYJTA2BI5ypFFqEZhh4,0.0,8,0.381,-6.057,0,Early 20 Rager,55,2017-08-25,0.0647,127.001
0.345,2017,0.677,H.E.R.,0.518,219680,0.404,0,01ZqsXtHhRtO2Z2JrvkG1w,0.00042,10,0.101,-9.471,0,Lights On,56,2017-10-20,0.13699999999999998,118.016
0.294,2017,0.147,BROCKHAMPTON,0.7759999999999999,161000,0.388,1,1xfFPJdRjgDAaMcDgbXwyh,0.0,0,0.394,-9.143,1,STAR,57,2017-06-09,0.282,75.01
0.908,2017,0.301,Tyler Childers,0.489,166053,0.773,0,5opxZwZYGrLuWTOLW8HvMK,0.108,7,0.241,-6.356,1,Purgatory,54,2017-08-04,0.0308,141.41899999999995
0.77,2017,0.856,Animal Collective,0.633,325155,0.565,0,1iJdIZU5Ffgixa92wrcZZC,0.00542,11,0.381,-11.125,1,Man Of Oil,57,2017-05-05,0.0614,109.951
0.657,2017,0.0464,PnB Rock,0.63,221000,0.782,1,03w1u0L5fS0F7izSUkdqS2,0.0,6,0.0944,-4.046,0,Feelins,55,2017-11-17,0.225,150.076
0.539,2017,0.00498,Scarlxrd,0.6459999999999999,121913,0.963,1,78EDmwVdZzp6vTl3hVWzpW,0.0,8,0.309,-0.092,1,6 Feet,60,2017-09-29,0.28800000000000003,149.987
0.369,2017,0.0942,Polo & Pan,0.7040000000000001,276293,0.6920000000000001,0,260V7huyJrXnyYe0dFv2Fa,0.0109,5,0.0922,-6.558,0,Canopée,67,2017-05-19,0.0304,96.005
0.303,2017,0.821,Elton John,0.555,243067,0.336,0,2bUXfclD8DwJwwUENtSCWu,2.17e-06,3,0.08900000000000001,-9.916,1,Your Song - Remastered,64,2017-11-10,0.0296,127.792
0.466,2017,0.949,Elijah Who,0.633,96406,0.399,0,1SJkTuUNKe4rYQgX8wmqku,0.5710000000000001,7,0.104,-10.568,1,i love being with you,59,2017-09-29,0.0489,78.893
0.499,2017,0.0016,The Killers,0.466,222147,0.951,0,5NAiPIEzxAexFE3ucV18Q8,0.00242,5,0.35100000000000003,-3.314,1,Run For Cover,63,2017-09-22,0.125,165.107
0.37,2017,0.318,Alanna Ubach, Antonio Sol,0.46,165533,0.574,0,5fBcRH4CnYTaFMQtM0JtSl,0.0,4,0.1,-7.414,0,La Llorona,57,2017-11-10,0.112,67.697
0.0,2017,0.962,Fabricants,0.0,175680,2e-05,0,4UYLGTJRGCt4KzP9r9Y9bH,0.028,11,0.13699999999999998,-52.22,0,Brain Relaxation,57,2017-01-18,0.0,0.0
0.86,2017,0.041,Babe Rainbow,0.6609999999999999,194280,0.821,0,5qNNanYonpCwahfJGuFVRQ,0.0333,2,0.105,-4.565,1,Peace Blossom Boogy,57,2017-09-01,0.0307,112.011
0.622,2017,0.882,moow, Lotte Kestner,0.8220000000000001,82800,0.107,0,73SyPIx501G3211y3oTYns,0.861,1,0.084,-13.824000000000002,1,Wake Up,60,2017-01-27,0.0862,77.467
0.161,2017,0.732,Sabrina Claudio,0.476,283236,0.44,0,66H06L8hktjhduwRDWntDT,0.023,9,0.0773,-8.198,0,Stand Still,58,2017-10-05,0.0371,149.389
0.324,2017,0.529,Bazzi,0.534,224628,0.366,0,7LdMXgWzLthvxJOngkynaB,0.0,7,0.21,-10.858,0,Sober,58,2017-04-07,0.0488,123.503
0.403,2017,0.304,Moneybagg Yo,0.823,167407,0.664,1,64DmB3o38q6oMZUz35vLcp,0.0,6,0.196,-5.0280000000000005,0,Dont Kno,53,2017-02-14,0.271,139.981
0.199,2017,0.00189,Big Gigantic, Logic, ROZES,0.628,228169,0.877,1,2HiH7eMk9aokfnIEFzWiMq,0.0,10,0.228,-3.016,0,"All of Me (feat. Logic, ROZES)",55,2017-08-30,0.041,142.034
0.34600000000000003,2017,0.213,DeJ Loaf, Jacquees,0.636,195762,0.481,1,0tP7W6M6JHtnhX92Mk9RAS,0.0,8,0.123,-6.323,1,Make You Fall In Love,55,2017-02-10,0.113,135.016
0.18600000000000005,2017,0.0366,Chris Brown,0.67,281876,0.531,1,07egAPsYgrxjkEnZxs1ePJ,0.0,11,0.132,-7.294,0,Hope You Do,59,2017-10-31,0.0629,100.006
